employee_number,gender,birth_year,age,marital_status,dist_home,job_title,department,departured,year_at_comp,standard_hours,remote,business_travel,over_time,job_level,stock_opt_level,traning_times_last_year,perf_rate,year_last_promotion,year_current_mngr,education_field,education_scale,annual_salary,monthly_income,daily_rate,perc_salary_hike,env_sat_rate,job_involvement,job_sat_rate,relationship_sat_rate,work_life_balance,num_comp_worked,tot_working_year
351,M,1987,36.0,Single,8,Sales Executive,Sales,No,10,Part Time,No,non-travel,Unknown,3,0,1,3,0,9,Unknown,4,75870.0,6322.5,782.7857142857142,15,1,2,1,2,3,1,10
352,F,1994,29.0,Married,27,Healthcare Representative,Research & Development,No,8,Part Time,Yes,Unknown,No,2,1,3,3,1,1,Medical,3,43350.0,3612.5,447.2619047619048,12,2,3,3,1,2,4,11
353,F,1985,38.0,Single,2,Manufacturing Director,Research & Development,No,15,Full Time,Yes,Unknown,Unknown,2,0,2,3,4,12,Life Sciences,4,59800.0,4983.33,616.984126984127,12,1,4,1,4,3,6,17
354,F,1983,40.0,Unknown,13,Healthcare Representative,Research & Development,No,8,,Yes,Unknown,No,2,1,2,4,3,7,Medical,2,42423.333333333336,3536.67,437.8730158730159,24,13,4,2,4,3,1,8
355,M,1981,42.0,Unknown,8,Manager,Unknown,No,24,,Yes,travel_frequently,No,5,1,4,3,14,9,Unknown,3,191324.62,15943.72,1973.9841269841268,13,2,3,4,2,2,1,24
356,F,1987,36.0,Unknown,1,Manufacturing Director,Research & Development,No,9,Part Time,No,travel_rarely,Unknown,2,1,2,3,0,5,Other,3,52280.0,4356.67,539.3968253968254,15,3,3,2,1,3,0,
357,M,1994,29.0,Married,23,Research Scientist,Research & Development,No,10,Part Time,Yes,travel_rarely,Unknown,1,1,3,4,0,7,Unknown,2,27000.0,2250.0,278.57142857142856,24,3,4,3,3,3,1,10
358,M,1968,55.0,Single,2,Sales Executive,Sales,Yes,9,Part Time,No,Unknown,Unknown,2,0,3,3,7,3,Medical,1,53914.11,4492.84,556.2566609977324,16,3,3,4,3,2,4,
359,F,1995,28.0,Unknown,2,Sales Executive,Sales,No,8,Part Time,Yes,Unknown,Unknown,2,0,2,4,7,5,Unknown,4,53914.11,4492.84,556.2566609977324,20,2,3,2,1,3,1,8
360,F,1997,26.0,Married,5,Research Scientist,Research & Development,Yes,8,Part Time,Yes,Unknown,Unknown,1,1,2,3,1,7,Medical,2,23660.0,1971.67,244.11111111111111,14,3,2,3,1,3,1,8
361,M,1979,44.0,Unknown,9,Research Scientist,Research & Development,No,8,,Yes,Unknown,Yes,1,0,0,3,7,1,Unknown,2,28111.13,2342.59,290.03550973654063,13,2,3,1,4,3,1,8
362,F,1982,41.0,Divorced,2,Laboratory Technician,Research & Development,Yes,7,,Yes,Unknown,Yes,1,1,1,3,1,0,Life Sciences,4,28111.13,2342.59,290.03550973654063,13,2,1,4,3,2,4,
363,M,1992,31.0,Unknown,7,Sales Representative,Sales,No,7,Part Time,No,travel_rarely,Unknown,1,0,2,,5,2,Unknown,4,23290.0,1940.83,240.2936507936508,15,2,2,3,2,4,3,
364,M,1997,26.0,Unknown,28,Sales Executive,Sales,No,7,Part Time,Yes,travel_frequently,Unknown,2,0,2,3,0,7,Medical,3,42940.0,3567.7766666666666,443.031746031746,12,28,2,1,2,3,1,
365,F,1992,31.0,Unknown,12,Healthcare Representative,Research & Development,No,9,Part Time,No,Unknown,Unknown,2,2,2,3,8,5,Medical,3,53914.11,4492.84,556.2566609977324,11,4,3,4,3,1,0,10
366,F,1991,32.0,Married,3,Manufacturing Director,Research & Development,No,8,Full Time,No,Unknown,Unknown,2,1,2,3,6,3,Medical,4,67250.0,5582.223333333332,693.8492063492063,12,3,3,1,3,4,1,8
367,M,1987,36.0,Married,3,Sales Executive,Sales,Yes,16,Full Time,No,travel_rarely,Unknown,3,1,6,,3,7,Life Sciences,1,103250.0,8604.17,1065.2777777777778,11,3,2,4,1,3,1,
368,M,1978,45.0,Unknown,47,Laboratory Technician,Research & Development,No,9,Part Time,Yes,non-travel,Unknown,2,0,5,3,0,8,Unknown,2,44470.0,3676.6666666666665,458.8174603174604,12,47,3,2,2,2,1,
369,M,1984,39.0,Single,2,Sales Executive,Sales,No,8,Part Time,No,travel_rarely,No,3,0,3,3,0,7,Unknown,5,100071.84,8339.32,1032.4872861766066,18,1,4,3,4,3,0,9
370,M,1987,36.0,Divorced,8,Sales Executive,Sales,No,7,Part Time,Yes,non-travel,No,2,2,3,,0,7,Technical Degree,4,53914.11,4492.84,556.2566609977324,13,1,3,4,4,3,4,12
371,M,1977,46.0,Unknown,7,Manufacturing Director,Research & Development,No,8,Full Time,No,Unknown,Unknown,3,1,3,3,0,7,Medical,2,108450.0,9037.5,1118.928571428571,13,4,3,3,2,3,6,
372,F,1969,54.0,Unknown,17,Manufacturing Director,Research & Development,No,10,Part Time,Yes,travel_rarely,Unknown,3,1,2,,0,8,Technical Degree,3,100071.84,8339.32,1032.4872861766066,11,3,3,3,3,3,8,22
373,F,1993,30.0,Unknown,8,Research Director,Research & Development,No,8,Part Time,Yes,travel_rarely,Yes,3,3,4,3,1,7,Unknown,2,100071.84,8339.32,1032.4872861766066,12,2,4,1,3,2,0,
374,M,1997,26.0,Married,2,Manufacturing Director,Research & Development,No,8,Full Time,No,Unknown,Unknown,2,0,2,3,1,3,Medical,2,54720.0,4558.89,564.5714285714286,12,4,4,4,2,3,1,
375,M,1968,55.0,Married,18,Healthcare Representative,Research & Development,No,8,Full Time,Yes,travel_frequently,Unknown,2,2,3,3,6,7,Medical,4,63850.0,5320.83,658.7698412698413,14,3,3,2,4,3,3,
376,F,1973,50.0,Married,1,Sales Executive,Sales,No,18,Full Time,Yes,non-travel,Unknown,2,1,3,3,0,13,Life Sciences,3,63470.0,5289.17,654.8492063492064,12,4,3,3,1,3,0,
377,F,1991,32.0,Single,29,Laboratory Technician,Research & Development,No,8,Part Time,Yes,non-travel,No,1,0,2,3,7,7,Unknown,4,28111.13,2342.59,290.03550973654063,12,4,3,3,2,3,9,10
378,F,1970,53.0,Unknown,2,Sales Executive,Sales,No,15,Part Time,Yes,travel_frequently,Unknown,3,1,2,3,6,12,Marketing,3,75250.0,6377.22,776.3888888888888,12,3,2,2,1,,2,30
379,M,1983,40.0,Married,26,Sales Executive,Sales,No,7,Part Time,No,travel_rarely,Unknown,2,1,3,3,7,5,Unknown,3,53914.11,4492.84,556.2566609977324,14,3,3,1,2,2,1,8
380,M,1968,55.0,Single,2,Manager,Unknown,No,9,,Yes,Unknown,No,4,0,3,3,6,2,Unknown,1,153407.07,12783.92,1582.7713464696226,15,3,2,1,2,4,7,
381,M,1995,28.0,Single,24,Healthcare Representative,Research & Development,Yes,10,Part Time,No,non-travel,No,3,0,2,3,1,9,Unknown,2,100071.84,8339.32,1032.4872861766066,12,2,2,1,1,2,1,10
382,F,1995,28.0,Single,10,Research Scientist,Research & Development,No,8,,Yes,travel_rarely,No,2,0,4,3,1,7,Other,3,36423.333333333336,3050.0,377.6190476190477,13,3,3,3,4,4,3,
383,M,1988,35.0,Unknown,4,Sales Executive,Sales,Yes,8,Part Time,Yes,Unknown,Unknown,3,0,2,4,4,7,Technical Degree,3,100071.84,8339.32,1032.4872861766066,22,4,3,1,1,3,0,9
384,F,1990,33.0,Single,36,Research Scientist,Research & Development,Yes,13,Part Time,Yes,travel_frequently,No,2,0,4,4,3,8,Medical,4,53914.11,4492.84,556.2566609977324,22,36,2,3,2,3,1,14
385,M,1998,25.0,Married,4,Laboratory Technician,Research & Development,Yes,7,Part Time,Yes,Unknown,Unknown,1,1,3,,5,6,Technical Degree,1,28111.13,2342.59,290.03550973654063,15,4,3,4,2,4,1,7
386,M,1985,38.0,Unknown,10,Sales Executive,Sales,No,8,Part Time,Yes,Unknown,Yes,3,2,2,3,2,7,Unknown,4,87400.0,7283.33,901.7460317460316,14,3,2,3,2,,0,9
387,F,1995,28.0,Unknown,12,Manufacturing Director,Research & Development,No,9,Part Time,Yes,Unknown,Unknown,3,3,3,3,1,7,Unknown,3,100071.84,8339.32,1032.4872861766066,17,12,3,2,2,2,0,
388,F,1980,43.0,Married,27,Manufacturing Director,Research & Development,No,8,Part Time,No,travel_frequently,No,3,1,1,3,0,1,Life Sciences,3,100071.84,8339.32,1032.4872861766066,11,3,3,1,3,3,8,18
389,M,1984,39.0,Unknown,2,Healthcare Representative,Research & Development,Yes,18,Full Time,No,travel_frequently,No,4,3,4,3,11,5,Life Sciences,3,153407.07,12783.92,1582.7713464696226,11,1,3,4,4,3,7,21
390,M,1983,40.0,Unknown,14,Research Director,Research & Development,No,20,Full Time,Yes,travel_rarely,No,5,0,2,,4,9,Unknown,3,191324.62,15943.72,1973.9841269841268,14,3,2,3,1,,1,
391,M,1994,29.0,Married,8,Manufacturing Director,Research & Development,No,10,,Yes,travel_rarely,Unknown,2,1,2,3,1,2,Medical,1,53914.11000000001,4492.84,556.2566609977324,15,2,2,4,3,2,1,10
392,F,1983,40.0,Unknown,32,Research Director,Research & Development,No,18,Full Time,No,Unknown,No,3,0,3,3,2,13,Unknown,4,134990.0,11249.17,1392.7539682539682,17,2,3,3,3,2,9,20
393,M,1997,26.0,Unknown,3,Laboratory Technician,Research & Development,No,8,Part Time,Yes,travel_rarely,Unknown,1,1,2,4,0,7,Unknown,4,28111.13,2342.59,290.03550973654063,22,1,4,4,2,3,1,8
394,M,1988,35.0,Divorced,2,Manufacturing Director,Research & Development,No,7,,Yes,travel_rarely,No,3,1,2,3,6,4,Unknown,3,100071.84000000001,8339.32,1032.4872861766066,18,3,2,2,2,4,2,15
395,F,1970,53.0,Divorced,7,Manager,Research & Development,No,7,Full Time,No,Unknown,No,5,1,6,3,4,7,Medical,2,191324.62,15943.72,1973.9841269841268,18,4,3,3,2,3,3,26
396,M,1988,35.0,Unknown,17,Sales Executive,Sales,No,7,Part Time,Yes,Unknown,Unknown,2,3,2,3,1,7,Life Sciences,4,53914.11,4492.84,556.2566609977324,15,3,3,1,4,3,3,15
397,F,1990,33.0,Unknown,25,Sales Executive,Sales,No,10,Part Time,Yes,Unknown,No,2,1,3,3,0,1,Medical,3,53914.11,4492.84,556.2566609977324,12,2,3,3,1,2,1,
398,M,1987,36.0,Divorced,6,Laboratory Technician,Research & Development,No,7,Part Time,Yes,Unknown,No,1,1,4,3,1,7,Life Sciences,4,28111.13,2342.59,290.03550973654063,14,3,1,3,3,3,1,
399,M,1993,30.0,Divorced,7,Laboratory Technician,Research & Development,No,10,Part Time,Yes,travel_rarely,Unknown,2,3,4,,8,9,Life Sciences,4,34910.0,2909.17,360.1825396825397,13,3,3,3,1,2,1,
400,M,1963,60.0,Divorced,29,Sales Executive,Sales,No,11,,Yes,Unknown,Unknown,2,1,3,3,1,9,Unknown,4,52476.666666666664,4350.0,538.5714285714286,18,29,4,4,2,3,0,12
401,F,1991,32.0,Single,2,Research Scientist,Research & Development,No,8,Part Time,No,Unknown,Yes,2,0,2,3,0,7,Life Sciences,2,53914.11,4492.84,556.2566609977324,14,4,3,3,4,3,4,10
402,F,1987,36.0,Divorced,1,Manufacturing Director,Research & Development,No,7,Full Time,Yes,Unknown,Yes,3,1,2,4,7,7,Technical Degree,3,102520.0,8543.33,1057.7460317460318,21,3,1,1,3,3,2,17
403,M,1996,27.0,Unknown,14,Research Scientist,Research & Development,No,9,,Yes,travel_rarely,Unknown,1,2,3,3,6,8,Unknown,3,28111.13,2342.59,290.03550973654063,14,1,3,1,4,2,1,
404,M,1980,43.0,Unknown,3,Research Director,Research & Development,No,8,Full Time,Yes,Unknown,No,5,1,2,3,0,7,Life Sciences,3,197400.0,16450.0,2036.6666666666667,14,3,1,4,2,3,3,
405,F,1994,29.0,Divorced,1,Research Director,Research & Development,No,7,Full Time,Yes,travel_rarely,No,4,2,2,3,1,7,Unknown,3,153407.07,12783.92,1582.7713464696226,14,4,2,4,2,2,3,9
406,M,1964,59.0,Single,24,Manufacturing Director,Research & Development,No,9,Part Time,No,Unknown,No,3,0,6,3,5,4,Unknown,4,100071.84,8339.32,1032.4872861766066,12,24,3,4,4,2,6,
407,F,1980,43.0,Single,4,Sales Executive,Sales,No,21,Part Time,Yes,travel_rarely,No,3,0,3,3,15,17,Marketing,4,100071.84,8339.32,1032.4872861766066,14,4,2,4,4,4,3,23
408,F,1979,44.0,Married,15,Healthcare Representative,Research & Development,Yes,10,Part Time,Yes,travel_rarely,Unknown,3,1,2,3,0,5,Medical,3,100071.84,8339.32,1032.4872861766066,11,1,3,4,4,3,1,
409,F,1994,29.0,Divorced,7,Laboratory Technician,Research & Development,Yes,7,,Yes,Unknown,Yes,1,2,2,3,7,7,Technical Degree,3,28111.13,2342.59,290.03550973654063,13,2,3,3,1,3,3,10
410,M,1991,32.0,Married,8,Sales Executive,Sales,No,10,Full Time,No,travel_rarely,Unknown,2,2,4,3,0,8,Unknown,3,62090.0,5174.17,640.6111111111111,15,3,4,4,3,4,1,
411,F,1987,36.0,Married,10,Healthcare Representative,Research & Development,No,7,Part Time,Yes,travel_rarely,No,3,0,0,3,1,7,Technical Degree,4,70940.0,5840.556666666666,731.9206349206349,12,4,3,3,1,3,3,
412,M,1971,52.0,Single,5,Sales Executive,Sales,Yes,8,Part Time,Yes,Unknown,Yes,3,0,2,3,7,7,Unknown,3,100071.84,8339.32,1032.4872861766066,19,2,3,2,3,2,9,
413,M,1984,39.0,Single,33,Manufacturing Director,Research & Development,No,8,,Yes,travel_rarely,Unknown,2,0,6,3,1,7,Unknown,2,45340.0,3778.33,467.7936507936508,11,1,3,3,1,,0,
414,M,1989,34.0,Unknown,9,Healthcare Representative,Research & Development,No,9,Part Time,Yes,Unknown,Unknown,3,1,0,,1,6,Unknown,3,85000.0,7083.33,876.984126984127,11,4,3,4,4,2,0,10
415,F,1985,38.0,Unknown,2,Sales Executive,Sales,No,7,,Yes,Unknown,Unknown,2,1,3,3,1,7,Life Sciences,2,53914.11,4492.84,556.2566609977324,15,2,3,1,4,3,3,11
416,F,1987,36.0,Married,12,Sales Executive,Sales,No,15,Part Time,Yes,travel_frequently,No,2,1,2,3,6,13,Marketing,3,46390.0,3865.83,478.62698412698415,16,12,4,1,4,2,2,
417,F,1988,35.0,Unknown,1,Laboratory Technician,Research & Development,No,9,Part Time,No,Unknown,No,2,1,0,3,0,0,Unknown,3,53630.0,4469.17,553.3253968253969,12,4,2,4,2,3,0,10
418,M,1968,55.0,Unknown,13,Sales Executive,Sales,Yes,19,Full Time,Yes,Unknown,Unknown,4,0,2,3,3,8,Unknown,4,153407.07,12783.92,1582.7713464696226,17,1,4,3,3,2,6,
419,M,1989,34.0,Unknown,29,Laboratory Technician,Research & Development,No,8,Part Time,No,Unknown,Unknown,2,2,1,3,7,7,Unknown,3,53914.11,4492.84,556.2566609977324,13,2,3,3,1,3,4,10
420,F,1980,43.0,Single,6,Research Scientist,Research & Development,No,20,Part Time,No,Unknown,Yes,2,0,3,3,1,8,Medical,3,40810.0,3400.83,421.0555555555556,14,1,2,3,1,1,1,20
421,F,1981,42.0,Married,10,Manager,Unknown,No,20,Full Time,No,travel_rarely,Unknown,4,1,5,3,0,9,Human Resources,3,153407.07,12783.92,1582.7713464696226,14,3,3,1,3,3,0,21
422,M,1997,26.0,Single,7,Laboratory Technician,Research & Development,No,7,Full Time,Yes,travel_rarely,No,1,0,2,3,0,7,Unknown,3,35780.0,2975.0,369.1587301587302,12,3,4,1,4,3,0,8
423,F,1994,29.0,Single,14,Healthcare Representative,Research & Development,Yes,8,Part Time,Yes,Unknown,Yes,3,0,1,3,7,7,Other,1,100071.84,8339.32,1032.4872861766066,12,3,3,4,1,3,0,
424,F,1969,54.0,Unknown,1,Research Director,Research & Development,No,20,Full Time,No,Unknown,Unknown,4,0,3,3,12,7,Unknown,3,173280.0,13859.166666666666,1787.809523809524,19,4,3,4,4,2,6,29
425,M,1968,55.0,Divorced,1,Research Director,Research & Development,No,7,Full Time,Yes,Unknown,No,4,2,4,3,0,0,Unknown,4,153407.07,12783.92,1582.7713464696226,13,2,4,4,4,4,2,31
426,M,1983,40.0,Unknown,9,Laboratory Technician,Research & Development,No,8,Part Time,Yes,non-travel,No,2,2,2,3,0,7,Other,4,53914.11,4492.84,556.2566609977324,11,3,3,3,3,,3,11
427,M,1992,31.0,Divorced,8,Sales Executive,Sales,No,13,Full Time,Yes,Unknown,Unknown,3,1,5,,9,9,Unknown,2,107930.0,8994.17,1113.563492063492,18,1,3,4,1,3,1,13
428,M,1977,46.0,Divorced,9,Sales Executive,Sales,Yes,7,,Yes,Unknown,No,3,1,1,3,4,3,Marketing,3,100071.84000000001,8339.32,1032.4872861766066,11,1,3,4,1,4,4,28
429,M,1978,45.0,Unknown,20,Healthcare Representative,Research & Development,No,7,Full Time,No,travel_rarely,Yes,3,1,2,3,0,7,Medical,3,108510.0,9042.5,1119.547619047619,18,2,1,1,2,3,2,
430,M,1974,49.0,Divorced,7,Healthcare Representative,Research & Development,No,8,Full Time,No,travel_rarely,Unknown,3,2,3,3,0,7,Life Sciences,4,104660.0,8708.333333333334,1079.8253968253969,14,3,3,2,2,3,3,29
431,M,1994,29.0,Unknown,19,Sales Executive,Sales,No,10,Part Time,Yes,travel_rarely,Unknown,2,2,3,3,0,4,Unknown,3,53914.11,4492.84,556.2566609977324,14,3,2,3,3,3,1,10
432,M,1994,29.0,Single,1,Research Scientist,Research & Development,Yes,9,Part Time,Yes,Unknown,No,1,0,2,3,0,7,Technical Degree,4,23620.0,1977.7766666666666,243.6984126984127,13,1,2,1,3,1,6,
433,F,1994,29.0,Unknown,8,Healthcare Representative,Research & Development,No,7,Part Time,Yes,Unknown,No,2,1,3,3,0,7,Other,1,53914.11,4492.84,556.2566609977324,13,3,1,1,3,3,3,9
434,M,1983,40.0,Single,6,Manager,Human Resources,No,21,Full Time,Yes,travel_rarely,Yes,4,0,2,4,7,7,Unknown,2,153407.07,12783.92,1582.7713464696226,21,3,3,4,4,3,1,21
435,F,1975,48.0,Divorced,16,Sales Executive,Sales,No,8,Full Time,Yes,Unknown,No,2,1,2,3,7,7,Life Sciences,4,64390.0,5386.11,664.3412698412699,14,3,3,3,3,,8,18
436,F,1970,53.0,Married,2,Manufacturing Director,Research & Development,Yes,33,Part Time,Yes,Unknown,Unknown,3,1,4,3,1,9,Unknown,5,100071.84,8339.32,1032.4872861766066,16,3,2,4,2,3,0,
437,F,1979,44.0,Unknown,7,Research Director,Research & Development,No,22,,No,Unknown,Yes,5,1,4,,1,10,Medical,3,191324.62,15943.72,1973.9841269841268,14,2,3,4,4,2,0,
438,F,1978,45.0,Unknown,5,Laboratory Technician,Research & Development,No,10,Full Time,No,Unknown,Unknown,2,0,3,3,1,4,Unknown,5,57690.0,4836.113333333334,595.2142857142857,14,3,1,1,1,3,1,10
439,M,1978,45.0,Unknown,26,Sales Executive,Sales,No,10,,No,non-travel,Unknown,2,1,2,,4,5,Marketing,3,43876.666666666664,3654.17,452.4206349206349,15,1,2,1,1,,1,10
440,M,1989,34.0,Unknown,10,Manufacturing Director,Research & Development,No,9,Part Time,Yes,travel_frequently,Unknown,2,1,3,3,7,2,Unknown,4,53914.11,4492.84,556.2566609977324,13,3,4,4,1,,1,9
441,M,1984,39.0,Unknown,10,Manufacturing Director,Research & Development,No,7,,No,Unknown,Unknown,2,3,3,3,7,7,Medical,5,53914.11000000001,4492.84,556.2566609977324,13,2,3,1,4,3,2,
442,M,1996,27.0,Divorced,36,Laboratory Technician,Research & Development,No,7,Full Time,Yes,Unknown,No,1,2,3,3,0,7,Unknown,3,40660.0,3388.33,419.50793650793656,11,36,2,1,1,3,1,7
443,F,1978,45.0,Divorced,2,Manufacturing Director,Research & Development,No,10,,Yes,travel_rarely,Unknown,2,2,3,3,3,9,Unknown,2,53914.11000000001,4492.84,556.2566609977324,19,4,2,4,1,3,1,10
444,M,1979,44.0,Married,1,Human Resources,Human Resources,No,10,,Yes,Unknown,Yes,2,0,3,3,0,2,Unknown,5,53914.11000000001,4492.84,556.2566609977324,11,1,3,4,3,3,4,14
445,M,1998,25.0,Divorced,2,Manufacturing Director,Research & Development,No,7,Part Time,No,Unknown,Unknown,2,2,6,3,0,7,Life Sciences,1,52060.0,4338.33,537.1269841269842,17,4,4,3,3,3,1,7
446,M,1974,49.0,Single,1,Manager,Unknown,No,8,Full Time,Yes,Unknown,Unknown,4,0,2,3,0,0,Unknown,3,153407.07,12783.92,1582.7713464696226,14,3,3,3,1,3,4,23
447,F,1975,48.0,Unknown,7,Sales Representative,Sales,Yes,9,,No,travel_frequently,Unknown,1,2,3,,7,7,Unknown,2,26550.0,2212.5,273.92857142857144,11,4,3,3,3,3,2,19
448,M,1997,26.0,Unknown,7,Laboratory Technician,Research & Development,No,7,Part Time,Yes,Unknown,No,1,0,5,4,5,7,Medical,3,25700.0,2141.67,265.1587301587302,20,4,3,4,3,3,1,7
449,F,1979,44.0,Unknown,2,Healthcare Representative,Research & Development,No,8,Part Time,Yes,travel_rarely,Unknown,3,1,2,,6,7,Life Sciences,3,100071.84,8339.32,1032.4872861766066,19,3,4,4,2,3,1,
450,F,1987,36.0,Single,2,Sales Representative,Sales,No,13,Part Time,Yes,Unknown,Unknown,2,0,2,,6,7,Unknown,4,45020.0,3751.67,464.4920634920635,15,3,3,4,3,2,3,17
451,M,1977,46.0,Single,13,Healthcare Representative,Research & Development,No,10,Part Time,Yes,Unknown,No,2,0,3,3,0,9,Unknown,4,53914.11,4492.84,556.2566609977324,14,3,3,2,4,3,6,19
452,M,1988,35.0,Married,27,Manufacturing Director,Research & Development,No,7,Part Time,Yes,Unknown,Unknown,2,1,3,3,0,7,Life Sciences,4,53914.11,4492.84,556.2566609977324,16,4,3,3,2,3,2,17
453,F,1993,30.0,Unknown,2,Research Scientist,Research & Development,No,9,,No,travel_frequently,Unknown,1,0,2,3,0,7,Unknown,4,49680.0,4140.0,512.5714285714286,16,4,2,1,4,,0,10
454,M,1993,30.0,Unknown,15,Sales Executive,Sales,No,7,Part Time,Yes,Unknown,No,3,1,2,3,1,7,Marketing,2,100071.84,8339.32,1032.4872861766066,11,3,2,1,1,3,2,
455,F,1990,33.0,Unknown,2,Sales Executive,Sales,No,11,Part Time,Yes,non-travel,No,2,0,2,3,1,7,Marketing,3,51470.0,4289.17,531.0396825396825,15,4,3,2,4,2,8,13
456,M,1991,32.0,Single,5,Research Scientist,Research & Development,No,7,Part Time,Yes,Unknown,No,1,0,3,3,0,7,Unknown,4,27180.0,2265.0,280.42857142857144,14,2,3,2,2,3,2,12
457,M,1980,43.0,Unknown,2,Human Resources,Human Resources,No,9,,No,travel_rarely,No,1,0,5,3,1,8,Life Sciences,3,35780.0,2949.17,365.1349206349206,13,2,3,4,2,3,0,
458,F,1992,31.0,Unknown,29,Sales Executive,Sales,No,12,Full Time,Yes,travel_rarely,Unknown,2,2,3,3,5,7,Marketing,4,54680.0,4556.67,564.1587301587302,14,1,2,4,1,3,1,
459,M,1988,35.0,Unknown,27,Sales Executive,Sales,Yes,10,,No,Unknown,Unknown,2,0,2,3,7,7,Unknown,3,58033.333333333336,4844.17,599.7539682539682,18,3,3,4,4,3,1,
460,M,1988,35.0,Divorced,2,Manufacturing Director,Research & Development,No,7,,No,non-travel,No,2,1,6,3,1,7,Medical,2,53914.11,4492.84,556.2566609977324,14,2,3,4,3,3,2,15
461,F,1993,30.0,Single,10,Manufacturing Director,Research & Development,No,7,Part Time,No,Unknown,No,3,0,3,3,0,2,Medical,3,96670.0,8055.83,997.3888888888888,14,1,3,3,2,3,9,9
462,F,1977,46.0,Married,19,Healthcare Representative,Research & Development,Yes,9,,No,travel_rarely,No,2,1,2,4,3,7,Medical,2,53914.11000000001,4492.84,556.2566609977324,22,4,3,2,4,4,4,13
463,F,1978,45.0,Married,2,Sales Executive,Sales,No,8,Part Time,No,non-travel,Unknown,2,2,3,4,5,7,Unknown,4,51540.0,4313.61,531.7619047619048,22,3,3,3,2,4,4,10
464,M,1980,43.0,Married,2,Sales Executive,Sales,No,7,Full Time,No,travel_frequently,Unknown,2,1,5,4,7,7,Life Sciences,4,56750.0,4729.17,585.515873015873,20,1,3,4,3,3,1,7
465,F,1977,46.0,Unknown,10,Sales Executive,Sales,Yes,8,Part Time,Yes,Unknown,Unknown,3,3,2,4,0,7,Life Sciences,3,73140.0,6095.0,754.6190476190477,21,3,3,2,3,3,5,14
466,M,1983,40.0,Unknown,1,Manager,Research & Development,No,19,,Yes,travel_rarely,Unknown,4,1,3,3,11,16,Unknown,4,153407.07,12783.92,1582.7713464696226,11,1,3,1,1,,2,22
467,F,1996,27.0,Single,2,Sales Executive,Sales,No,8,Part Time,No,travel_rarely,No,2,0,5,3,0,7,Unknown,2,53914.11,4492.84,556.2566609977324,14,1,4,3,2,2,0,9
468,M,1981,42.0,Married,6,Research Director,Research & Development,No,13,,Yes,Unknown,No,3,1,3,3,5,7,Medical,3,100071.84000000001,8339.32,1032.4872861766066,13,3,3,1,2,4,9,18
469,M,1997,26.0,Married,6,Laboratory Technician,Research & Development,No,7,Part Time,Yes,travel_frequently,No,1,1,3,3,7,7,Other,3,28111.13,2342.59,290.03550973654063,18,3,4,4,1,3,0,8
470,M,1995,28.0,Married,1,Sales Executive,Sales,No,7,Part Time,Yes,travel_frequently,Unknown,2,1,2,3,0,7,Life Sciences,2,53914.11,4492.84,556.2566609977324,12,3,2,4,3,3,1,7
471,M,1976,47.0,Married,14,Research Scientist,Research & Development,No,8,Part Time,No,Unknown,Unknown,2,1,4,3,1,7,Unknown,4,53914.11,4492.84,556.2566609977324,18,3,3,2,3,4,8,
472,M,1989,34.0,Divorced,13,Sales Executive,Sales,No,8,Part Time,Yes,travel_rarely,No,3,1,2,3,1,1,Medical,4,100071.84,8339.32,1032.4872861766066,18,4,3,3,3,2,1,9
473,M,1997,26.0,Single,1,Laboratory Technician,Research & Development,No,7,Part Time,Yes,Unknown,No,1,0,6,3,7,6,Medical,3,28111.13,2342.59,290.03550973654063,13,3,3,1,4,,0,8
474,M,1996,27.0,Unknown,9,Sales Executive,Sales,No,7,Part Time,No,travel_rarely,Unknown,2,0,5,3,0,7,Unknown,3,53914.11,4492.84,556.2566609977324,14,4,3,4,1,,1,
475,M,1992,31.0,Unknown,26,Sales Executive,Sales,Yes,10,Part Time,Yes,travel_frequently,Yes,2,0,4,3,0,8,Marketing,4,53914.11,4492.84,556.2566609977324,11,1,3,4,3,3,1,10
476,M,1990,33.0,Divorced,7,Healthcare Representative,Research & Development,No,9,,Yes,travel_frequently,Unknown,2,3,2,,2,8,Life Sciences,2,53914.11000000001,4492.84,556.2566609977324,20,4,3,3,3,3,1,9
477,F,1992,31.0,Married,10,Research Director,Research & Development,No,11,Part Time,Yes,Unknown,No,3,1,2,4,4,8,Unknown,3,100071.84,8339.32,1032.4872861766066,20,3,3,3,3,4,4,13
478,M,1988,35.0,Unknown,9,Research Scientist,Research & Development,No,10,Part Time,Yes,Unknown,No,2,0,5,3,0,8,Medical,4,50980.0,4230.833333333333,525.984126984127,19,2,3,3,2,3,1,10
479,F,1990,33.0,Married,15,Healthcare Representative,Research & Development,No,9,Part Time,Yes,travel_rarely,Yes,2,1,6,,8,1,Unknown,2,53914.11,4492.84,556.2566609977324,13,2,3,4,1,3,0,
480,M,1984,39.0,Single,24,Research Scientist,Research & Development,No,7,,No,travel_rarely,No,2,0,2,,1,7,Life Sciences,1,53914.11000000001,4492.84,556.2566609977324,13,1,3,4,1,3,7,
481,F,1987,36.0,Married,46,Sales Executive,Sales,No,9,Part Time,Yes,travel_rarely,No,3,2,2,3,3,4,Unknown,3,100071.84,8339.32,1032.4872861766066,19,46,2,4,3,3,0,10
